Number,System,CPU,RAM,ROM,Solid,Screen,Time,Weight,Price
华硕_14714452653,windows,Intel 第8代 酷睿i5-8250U1.6GHz,8GB,其它,128GB SSD,14.0英寸,5-8小时,0,4599.00
华硕_15895585883,windows,Intel 第8代 酷睿i7-8550U1.8GHz,8GB,1TB,,15.6英寸,"2-3小时, 具体时间视使用环境而定",约2.3KG,5199.00
华硕_20228173988,windows,Intel 第8代 酷睿i5-8250U,8GB,其它,256GB SSD,14.0英寸,5-8小时,1.42Kg,4588.00
华硕_20446974627,windows,Intel 第8代 酷睿i5-8250U,8GB,500GB,,15.6英寸,2-5小时,约2.3KG,4599.00
华硕_28064042365,windows,Intel 第8代 酷睿i5-8250U1.6GHz,8GB,1TB,128GB SSD,14.0英寸,2-5小时,约1.4kg,4799.00
华硕_6224494,windows,Intel 第8代 酷睿i5-8250U1.6GHz,,其它,256GB SSD,15.6英寸,2-5小时,约2.0kg,4599.00
华硕_6396373,windows,Intel 第8代 酷睿i5-8250U1.6GHz,8GB,1TB,128GB SSD,14.0英寸,5-8小时,约1.3Kg,5299.00
华硕_7174865,windows,Intel 第8代 酷睿i7-8550U1.80 GHz,8GB,1TB,128GB SSD,15.6英寸,2-5小时,约2.45kg,5199.00
华硕_8311692,windows,Intel 第8代 酷睿i5-8250U1.6GHz,8GB,其它,512GB SSD,15.6英寸,5-8小时,约1.8Kg,5799.00
华硕_8636720,windows,Intel 第8代 酷睿i5-8250U1.6GHz,4GB,1TB,,15.6英寸,2-5小时,约1.68kg（只搭载SSD版本的重量，实际重量以到货情况为准）,4299.00
华硕_8776188,windows,Intel 第8代 酷睿i5-8250U1.6GHz,8GB,无机械硬盘,(M.2 SATA3协议）,13.3英寸,5-8小时,约1.25kg,4798.00
华硕_8848315,windows,Intel 第8代 酷睿i5-8250U1.6GHz,8GB,1TB,,15.6英寸,2-5小时,约1.68kg（只搭载SSD版本的重量，实际重量以到货情况为准）,4599.00
宏碁_100000068454,windows,Intel 第8代 酷睿i5-8250U,,1TB,128GB SSD,15.6英寸,5-8小时,2.1 kg,4899.00
宏碁_100000074853,windows,I5-7200U,,500GB,,15.6英寸,5-8小时,2.23kg,3499.00
宏碁_100000233746,windows,Intel 第8代 酷睿i5-8250U,,无机械硬盘,256GB SSD,14.0英寸,>8小时,约1.6kg,4799.00
宏碁_100000319684,windows,i5-8250U,,其它,256GB PCIe 固态硬盘,13.3英寸,>8小时,1.3kg,4799.00
宏碁_100001269556,windows,N5000 突增频率2.7GHz,,其它,128GB SSD,11.6英寸,>8小时,约1.52kg,2899.00
宏碁_11608675295,windows,Intel 第8代 酷睿其它　1.6GHz,,其它,,14.0英寸,>8小时,0,4799.00
宏碁_11677933709,windows,赛扬四核N3450,,其它,128GB SSD,13.3英寸,>8小时,1.3KG,3699.00
宏碁_17926457934,windows,Intel 第8代 酷睿1.6GHz,,1TB,128GB SSD,15.6英寸,2-5小时,2.0,3999.00
宏碁_24422970007,windows,,,其它,,15.6英寸,2-5小时,1.8-2.3kg,3799.00
宏碁_27581417967,windows,,,无机械硬盘,,13.3英寸,5-8小时,0,3299.00
宏碁_28299873387,windows,,,其它,,13.3英寸,>8小时,约1.3kg,2899.00
宏碁_3682513,windows,第七代智能英特尔酷睿i5处理器I5-7200U2.5GHz,,其它,128GB SSD,15.6英寸,2-5小时,2.2,3599.00
宏碁_4005351,windows,"第七代智能英特尔酷睿i5处理器I5-7200U2.5GHz主频, 睿频可达3.1GHz",,500GB,128GB SSD,14.0英寸,5-8小时,1.8,3999.00
宏碁_4057206,windows,赛扬四核N31601.6GHz,,其它,128GB SSD,15.6英寸,5-8小时,2.2,2299.00
宏碁_4145282,windows,"第七代智能英特尔酷睿i5处理器I5-7200U2.5GHz主频, 睿频可达3.1GHz",,500GB,,14.0英寸,5-8小时,2,3499.00
宏碁_4739958,windows,第七代智能英特尔酷睿i5处理器I5-7200U睿频可达3.1GHz,,其它,128GB SSD,14.0英寸,>8小时,1.53,3599.00
宏碁_7056182,windows,i5-8250U,,1TB,128GB SSD,14.0英寸,>8小时,1.45kg,4699.00
小米_100000011341,windows,Intel 第8代 酷睿i7-8550U1.8GHz,8GB,1TB,128GB SATA SSD,15.6英寸,"2-3小时, 具体时间视使用环境而定",约2.18Kg(含电池，具体重量依据产品出货配置为准),4799.00
小米_100000011349,windows,Intel 第8代 酷睿i5-8250U,8GB,1TB,128GB SSD,15.6英寸,2-5小时,约2.18Kg(含电池，具体重量依据产品出货配置为准),4499.00
小米_100000462322,windows,第七代智能英特尔酷睿i7处理器i7-7500U2.5GHz,,无机械硬盘,PCIe ×4 NVMe SSD,13.3英寸,5-8小时,1.3kg,5599.00
小米_100001239800,windows,Intel 第8代 酷睿2.2GHz,8GB,无机械硬盘,128GB SSD,13.3英寸,>8小时,1.3kg(含电池，具体重量依据产品出货配置为准),3999.00
小米_11095188261,windows,,,其它,其它,其它,其它,1.3-2.0kg,4999.00
小米_12316707790,windows,酷睿双核m3-7Y301.2GHz,4GB,其它,,12.5英寸,5-8小时,1.07kg,3699.00
小米_16645788064,windows,Intel 第8代 酷睿其它　,,其它,256GB SSD,15.6英寸,>8小时,-,5399.00
小米_18171644902,windows,Intel 第8代 酷睿3.2GHz,8GB,250GB,256GB SSD,15.6英寸,>8小时,1.95kg,5399.00
小米_26407719014,windows,Intel 第7代 酷睿,,其它,,12.5英寸,5-8小时,1-1.5kg,3999.00
小米_28654941949,windows,酷睿双核,,其它,,12.5英寸,>8小时,约1.07kg,3699.00
小米_31173238412,windows,,,其它,,15.6英寸,其它,0,6899.00
小米_31907131984,windows,酷睿双核,,其它,,12.5英寸,>8小时,约1.07kg,3599.00
小米_31992543352,windows,Intel 第8代 酷睿i5-8250U1.6GHz,4GB,其它,,15.6英寸,5-8小时,约2.18Kg(含电池，具体重量依据出货配置为准),3868.00
小米_5029717,windows,Intel 第8代 酷睿i5-8250U最大睿频频率达到3.4GHz,8GB,无机械硬盘,256GB SSD,15.6英寸,>8小时,1.95Kg,5999.00
小米_7269873,windows,酷睿四核i7处理器i7-8550U最大睿频频率达到4.0GHz,8GB,其它, PCIe ×4 NVMe SSD,13.3英寸,>8小时,1.3kg,5799.00
微软_100000713249,windows,i7-8650U ,,其它,256GB SSD,13.5英寸,>8小时,约1283g,12288.00
微软_100000713263,windows,i7-8650U ,,其它,512GB SSD,13.5英寸,>8小时,约1283g,16888.00
微软_100000713277,windows,i5-8250U ,,其它,256GB SSD,13.5英寸,>8小时,约1252g,9988.00
微软_100000713283,windows,i5-8250U ,,其它,256GB SSD,13.5英寸,>8小时,约1252g,9988.00
